company,location,fire,��ü �η� �� ���� ���� ����,industry,country,ai_bool
Logitech,Geneva Non-U.S.,300,,Hardware,Switzerland,FALSE
Copper,London Non-U.S.,,15%,Crypto,United Kingdo??True,TRUE
Roofstock,SF Bay Area,,27%,Real Estate,United States,FALSE
Rewind,Ottawa Non-U.S.,,,Data,Canada,TRUE
Wejo,Chester Non-U.S.,40,16%,Transportat,,FALSE
Slite,Paris Non-U.S.,10,25%,Other,France,FALSE
TakeOff,Kyiv Non-U.S.,50,,Retail,Ukraine,FALSE
Glovo,Barcelona Non-U.S.,140,,Food,Spain,FALSE
Veeam,Columbus,200,,Data,United States,TRUE
Cimpress,Paris Non-U.S.,500,,Retail,France,FALSE
Aspiration,Los Angeles,170,,Finance,United States,FALSE
The Meet Group,New Hope,,,Consumer,United States,FALSE
Better Therapeutics,SF Bay Area,,35%,Healthcare,United States,FALSE
Rackspace,San Antonio,275,,Data,United States,TRUE
AEye,SF Bay Area,46,33%,Transportat,,FALSE
Blue Nile,Seattle,119,,Retail,United States,FALSE
Lucid Motors,SF Bay Area,1300,18%,Transportat,,FALSE
CoverMyMeds,Columbus,800,,Healthcare,United States,FALSE
Seagate,SF Bay Area,480,,Hardware,United States,FALSE
Drizly,Boston,100,,Retail,United States,FALSE
Electronic Arts,SF Bay Area,780,6%,Consumer,United States,FALSE
Anyline,Vienna Non-U.S.,,25%,Other,Austria,FALSE
OnePipe,Lagos Non-U.S.,,,Finance,Nigeria,FALSE
Shift,SF Bay Area,,30%,Transportat,,FALSE
iCAD,Nashua,23,28%,Healthcare,United States,FALSE
Hulu,Beijing Non-U.S.,200,,Media,China,FALSE
Roku,SF Bay Area,200,6%,Media,United States,FALSE
LendingTree,Charlotte,150,13%,Finance,United States,FALSE
FanClash,Gurugram Non-U.S.,100,75%,Consumer,India,FALSE
Loop,Austin,19,25%,Finance,United States,FALSE
Crossbeam,Philadelphia,17,15%,Sales,United States,FALSE
AnswerLab,SF Bay Area,,17%,Marketing,United States,FALSE
Endowus,Singapore Non-U.S.,,,Finance,Singapore,FALSE
GoodWorker,Singapore Non-U.S.,,90%,Recruiting,Singapore,FALSE
Kyndryl,New York City,,,Infrastructu,,FALSE
Nowports,Monterrey Non-U.S.,,15%,Logistics,Mexico,FALSE
Unacademy,Bengaluru Non-U.S.,,12%,Education,India,FALSE
Spotify,Stockholm Non-U.S.,15,,Media,Sweden,FALSE
Airbyte,SF Bay Area,,,Data,United States,TRUE
Domestika,Madrid Non-U.S.,89,45%,Education,Spain,FALSE
Snyk,Boston,128,,Security,United States,TRUE
Astronomer,Cincinnati,100,40%,Data,United States,TRUE
Lazerpay,Lagos Non-U.S.,,100%,Crypto,Nigeria,TRUE
Heygo,London Non-U.S.,,100%,Travel,United Kingdo??False,FALSE
Mediafly,Chicago,,,Sales,,FALSE
Bluepad,Bengaluru Non-U.S.,,100%,Media,India,FALSE
Sayurbox,Jakarta Non-U.S.,,,Food,Indonesia,FALSE
OpenClassrooms,Paris Non-U.S.,,25%,Education,France,FALSE
Calibrate,New York City,,18%,Healthcare,United States,FALSE
Community Gaming,New York City,17,17%,Crypto,United States,TRUE
Drip Capital,SF Bay Area,75,20%,Finance,United States,FALSE
Quadream,Tel Aviv Non-U.S.,,100%,Security,Israel,TRUE
Ten Square Games,Wrocław Non-U.S.,120,25%,Consumer,Poland,FALSE
Clearcover,Chicago,81,15%,Finance,United States,FALSE
Paper,Montreal Non-U.S.,81,3%,Education,Canada,FALSE
Utopia Music,Zug Non-U.S.,,15%,Other,Switzerland,FALSE
FamPay,Bengaluru Non-U.S.,,,Finance,India,FALSE
Kumu,Manila Non-U.S.,,,Media,Philippines,FALSE
Ynsect,Paris Non-U.S.,17,25%,Food,France,FALSE
Opendoor,SF Bay Area,560,22%,Real Estate,United States,FALSE
Noon,Riyadh Non-U.S.,340,10%,Retail,Saudi Arabia,FALSE
CoLab,Sydney Non-U.S.,,100%,Food,Australia,FALSE
Culture Amp,Melbourne Non-U.S.,90,9%,HR,Australia,FALSE
TRM Labs,SF Bay Area,16,9%,Crypto,United States,TRUE
WalkMe,SF Bay Area,112,10%,Other,United States,FALSE
F5,Seattle,623,9%,Security,United States,TRUE
Lenovo,Raleigh,,,Hardware,United States,FALSE
Iress,Melbourne Non-U.S.,,10%,Finance,Australia,FALSE
Insider,New York City,,10%,Media,United States,FALSE
Gloat,New York City,35,12%,HR,United States,FALSE
Koo,Bengaluru Non-U.S.,78,30%,Consumer,India,FALSE
BuzzFeed,New York City,180,15%,Media,United States,FALSE
Open,Bengaluru Non-U.S.,47,,Finance,India,FALSE
Pluralsight,Salt Lake City,,,Education,United States,FALSE
Benchling,SF Bay Area,74,9%,Other,United States,FALSE
Lyft,SF Bay Area,1072,26%,Transportat,,FALSE
Flink,Berlin Non-U.S.,8000,40%,Food,Germany,FALSE
BigPanda,SF Bay Area,40,13%,Infrastructu,,FALSE
Red Hat,Raleigh,760,4%,Other,United States,FALSE
Skill Lync,Chennai Non-U.S.,400,,Education,India,FALSE
Rapid,SF Bay Area,115,50%,Finance,United States,FALSE
RenoRun,Montreal Non-U.S.,,100%,Construction,Canada,FALSE
Teampay,New York City,30,33%,Finance,United States,FALSE
Extramarks,Noida Non-U.S.,300,,Education,India,FALSE
Dropbox,SF Bay Area,500,16%,Other,United States,FALSE
Alteryx,Los Angeles,320,11%,Data,United States,TRUE
Vroom,New York City,120,11%,Transportat,,FALSE
Greenhouse,New York City,100,12%,Recruiting,,FALSE
Rebellion Defense,Washington D.C.,90,,Data,United States,TRUE
Poppulo,Denver,85,,HR,United States,FALSE
Airtasker,Sydney Non-U.S.,45,20%,Retail,Australia,TRUE
Chief,New York City,43,14%,Other,United States,FALSE
Tickertape,Bengaluru Non-U.S.,29,29%,Finance,India,FALSE
Clubhouse,SF Bay Area,,50%,Consumer,United States,FALSE
Oddle,Singapore Non-U.S.,,25%,Food,Singapore,FALSE
Rad Power Bikes,Seattle,,,Transportat,,FALSE
Megaport,Brisbane Non-U.S.,50,16%,Infrastructu,,FALSE
Cue Health,San Diego,326,30%,Healthcare,United States,FALSE
